"297","Southern Miss.","29","8-21","1866","64.3","2045","70.5","-6.2"
"298","Saint Louis","32","11-21","2106","65.8","2305","72.0","-6.2"
"299","The Citadel","32","10-22","2753","86.0","2962","92.6","-6.5"
"300","Washington St.","31","9-22","2187","70.5","2394","77.2","-6.7"
"301","Northwestern St.","28","8-20","2224","79.4","2413","86.2","-6.8"
"302","Appalachian St.","31","9-22","2187","70.5","2398","77.4","-6.8"
"303","UMES","32","10-22","2178","68.1","2399","75.0","-6.9"
"304","Cleveland St.","32","9-23","1947","60.8","2169","67.8","-6.9"
"305","Marist","30","7-23","2145","71.5","2360","78.7","-7.2"
"306","Cornell","28","10-18","1992","71.1","2193","78.3","-7.2"
"307","Drexel","31","6-25","1958","63.2","2183","70.4","-7.3"
"308","Auburn","31","11-20","2192","70.7","2421","78.1","-7.4"
"309","Niagara","32","7-25","2067","64.6","2304","72.0","-7.4"
"310","DePaul","31","9-22","2092","67.5","2325","75.0","-7.5"
"311","McNeese","29","9-20","2083","71.8","2301","79.3","-7.5"
"312","Hartford","33","10-23","2336","70.8","2588","78.4","-7.6"
"313","Youngstown St.","32","11-21","2437","76.2","2682","83.8","-7.7"
"314","Fla. Atlantic","33","8-25","2189","66.3","2443","74.0","-7.7"
"315","Binghamton","30","8-22","1827","60.9","2059","68.6","-7.7"
"316","South Fla.","33","8-25","2085","63.2","2352","71.3","-8.1"
"317","American","31","12-19","1785","57.6","2036","65.7","-8.1"
"318","SIUE","28","6-22","1839","65.7","2068","73.9","-8.2"
"319","N.C. A&T","32","10-22","2169","67.8","2433","76.0","-8.3"
"320","Coppin St.","31","9-22","2240","72.3","2497","80.5","-8.3"
"321","Central Ark.","28","7-21","2110","75.4","2344","83.7","-8.4"
"322","San Diego","30","9-21","1822","60.7","2074","69.1","-8.4"
"323","UMBC","32","7-25","2307","72.1","2579","80.6","-8.5"
"324","Nicholls St.","34","11-23","2298","67.6","2598","76.4","-8.8"
"325","Lafayette","30","6-24","2142","71.4","2412","80.4","-9.0"
"326","Florida A&M","29","8-21","1863","64.2","2128","73.4","-9.1"
"327","Boston College","32","7-25","1959","61.2","2256","70.5","-9.3"
"328","St. John's (NY)","32","8-24","2174","67.9","2472","77.3","-9.3"
"329","La Salle","31","9-22","1987","64.1","2279","73.5","-9.4"
"330","Delaware","30","7-23","1986","66.2","2270","75.7","-9.5"
"331","Chicago St.","32","4-28","2140","66.9","2478","77.4","-10.6"
"332","Prairie View","31","7-24","1873","60.4","2202","71.0","-10.6"
"333","Southeast Mo. St.","29","5-24","1944","67.0","2252","77.7","-10.6"
"334","Maine","30","8-22","2279","76.0","2606","86.9","-10.9"
"","UIC","30","5-25","2019","67.3","2346","78.2","-10.9"
"336","Bryant","31","8-23","2018","65.1","2361","76.2","-11.1"
"337","Delaware St.","32","7-25","1980","61.9","2336","73.0","-11.1"
"338","UTRGV","30","8-22","1993","66.4","2330","77.7","-11.2"
"339","UTSA","32","5-27","2317","72.4","2698","84.3","-11.9"
"340","Southern Utah","29","5-24","2040","70.3","2388","82.3","-12.0"
"341","Mississippi Val.","34","7-27","2206","64.9","2631","77.4","-12.5"
"342","Rutgers","32","7-25","2166","67.7","2571","80.3","-12.7"
"343","Northern Ariz.","30","5-25","2054","68.5","2438","81.3","-12.8"
"344","Central Conn. St.","29","4-25","1888","65.1","2268","78.2","-13.1"
"345","Ark.-Pine Bluff","33","8-25","1867","56.6","2322","70.4","-13.8"
"346","Bradley","32","5-27","1793","56.0","2238","69.9","-13.9"
Reclassifying
"NR","Grand Canyon","32","26-6","2459","76.8","2202","68.8","8.0"
"NR","Incarnate Word","29","17-12","2145","74.0","2140","73.8","0.2"
"NR","Abilene Christian","31","13-18","2209","71.3","2272","73.3","-2.0"
"NR","Northern Ky.","30","9-21","2116","70.5","2233","74.4","-3.9"
"NR","UMass Lowell","29","11-18","2221","76.6","2401","82.8","-6.2"
